,9gag.com.js,EmbedCanvas.js,V6zvOIoD.js,abg_lite.js,adsbygoogle.js,analytics.js,aps_csm.js,apstag.js,bcFOj52kynp.js,beacon.js,button.e96bb6acc0f8bda511c0c46a84ee18e4.js,bytegain.min.js,ca-pub-0268871989845966.js,client.js,express_html_inpage_rendering_lib_200_246.js,ext.js,fbevents.js,gag.js,gpt.js,idsync.4fd5df3e.js,ima3.js,m_js_controller.js,m_qs_click_protection.js,m_window_focus_non_hydra.js,manifest.js,piwik.7688214.js,pubads_impl_291.js,pubads_impl_rendering_291.js,qdUMtk3h9NPeMnxL_ueP0gGNIaopftyIbOMunPoqFCM.js,recaptcha__en.js,sdk.js,show_ads_impl.js,showad.js,u01meJHOm6aDdkm65zsgPs06YC1LmxK3T-HIHDDIdgw.js,vendor.js,widgets.js
 xhr,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.attr(,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0
.bmp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.css,1,13,0,0,4,0,0,0,10,0,0,0,0,0,8,0,0,4,0,0,3,1,0,0,0,0,1,5,0,1,5,6,1,0,83,1
.gif,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0
.html,32,0,1,0,2,1,0,3,0,0,0,0,0,0,11,0,0,25,0,0,2,0,0,0,0,3,2,3,0,1,1,5,1,0,11,5
.jpeg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.js,20,4,1,1,6,3,0,4,14,0,0,5,0,1,2,0,2,25,7,4,4,0,0,0,0,2,12,7,0,2,8,16,17,0,25,3
.open('GET',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.pdf,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.png,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,1,0
.send(,26,1,0,0,0,4,0,1,40,0,0,5,0,0,0,0,1,2,0,2,2,0,0,0,0,1,2,0,0,38,5,0,0,0,4,0
.src,25,5,15,3,4,7,2,11,23,1,0,3,0,13,18,1,5,13,7,2,33,2,0,1,0,4,14,2,0,21,12,15,13,0,27,17
.style.,73,58,2,8,47,0,0,3,15,0,0,6,0,1,21,0,1,27,0,1,24,1,2,0,0,0,20,44,0,13,51,39,4,0,41,9
.webp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0
Cookie,4,0,0,0,0,1,0,3,80,0,0,0,0,0,0,6,6,30,0,3,6,0,0,0,0,13,6,2,0,0,21,0,3,0,5,3
Dom,23,8,0,0,0,2,0,0,82,0,0,3,0,0,0,0,2,55,0,0,1,0,0,0,0,10,18,1,0,0,37,0,3,0,13,5
DomContentLoaded,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Flash,1,0,0,0,0,7,0,0,0,0,0,0,0,0,13,8,0,0,0,0,13,0,0,0,0,0,17,0,0,0,5,9,0,0,0,0
HTMLVideoElement,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LocalStorage,0,0,0,0,0,0,0,15,5,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,1
LocalStorageCache,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Video,13,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,82,0,0,19,0,0,0,0,0,30,0,0,0,8,0,0,0,0,2
addEventListener,23,15,10,5,4,4,4,9,24,0,1,5,0,6,15,2,6,16,0,0,18,5,5,2,0,10,18,0,3,10,12,8,5,3,45,17
async,10,0,1,1,7,1,0,2,131,0,0,4,0,0,2,0,1,8,3,1,4,2,0,2,0,0,3,0,0,0,12,18,5,0,23,6
background: url(,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
background:url(,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0
bind,20,0,3,3,3,0,0,14,177,0,0,5,0,3,3,3,1,123,0,0,4,3,3,0,1,0,5,0,0,34,49,3,1,0,61,23
cookie,27,0,0,1,7,21,0,10,34,1,0,14,0,6,0,12,2,32,0,5,9,0,0,0,0,7,19,3,0,0,7,17,9,0,24,4
createElement,29,35,5,5,9,6,0,8,19,0,0,4,0,5,11,1,4,59,5,2,24,5,1,1,0,1,10,2,0,10,27,24,6,0,71,27
data:image,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
document,126,38,23,27,52,6,5,45,191,2,0,20,0,25,76,5,8,53,12,8,138,22,2,2,0,9,137,52,2,100,114,161,69,2,164,18
document.write,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,1,1,0,0,1
dom,41,8,13,7,16,10,2,15,110,0,0,16,0,11,16,4,4,70,10,1,42,7,0,0,0,4,37,5,1,15,35,40,19,1,39,6
