	_1-1	_1-2	_1-3	_1-4	_1-5	_1-6	_1-7	_1-8
0	31.34	34.89	38.46	39.71	27.68	29.13	35.38	37.85
1	26.57	42.83	34.63	27.72	41.64	37.94	28.91	31.16
2	30.07	29.07	35.63	29.17	33.19	38.05	43.01	34.3
3	41.29	23.9	25.42	25.22	32.59	29.42	34.15	42.4
4	29.83	25.46	37.09	30.46	36.24	37.16	40.07	35.59
5	26.03	39.39	44.68	39.8	30.71	36.98	29.65	35.54
6	31.43	32.84	32.7	37.08	32.31	38.48	32.4	39.27
7	33.6	32.96	28.47	33.06	27.84	34.75	39.59	34.76
8	34.0	28.98	38.17	37.25	26.65	29.41	30.43	35.72
9	26.91	30.02	29.79	35.35	32.15	39.8	43.67	35.68
10	30.51	32.55	31.83	24.67	29.28	41.52	34.43	45.48
11	26.04	37.06	27.37	25.91	34.73	33.52	30.16	48.93
12	44.39	35.47	30.43	35.64	33.57	33.71	28.33	38.8
13	31.7	27.31	43.38	39.7	34.15	36.53	38.63	41.59
14	30.7	41.69	27.92	27.94	36.78	39.96	38.68	30.53
15	42.94	30.96	26.38	34.45	28.14	34.48	40.34	34.24
16	36.33	30.48	35.14	30.76	29.95	35.89	32.3	44.22
17	31.8	26.16	34.39	26.85	29.06	35.46	36.75	33.47
18	28.89	27.94	31.66	30.92	34.6	34.64	30.86	33.27
19	28.3	26.97	31.13	27.14	33.03	49.27	31.69	41.08
20	26.28	27.76	40.29	34.06	27.37	31.77	42.92	37.78
21	27.47	33.92	28.92	29.21	38.34	35.75	29.77	40.83
22	31.22	29.13	25.11	28.13	35.14	41.32	35.61	29.84
23	29.17	29.71	34.97	47.37	34.87	41.84	40.63	34.43
24	33.66	28.65	36.06	32.19	39.52	32.05	35.54	30.8
25	26.57	35.83	37.03	37.37	39.42	30.8	38.0	37.46
26	28.3	26.13	37.97	25.96	33.74	32.05	38.34	40.18
27	26.39	27.41	32.4	31.51	33.75	27.19	28.55	43.37
28	28.49	32.12	35.05	42.85	32.36	29.23	36.08	39.57
29	27.1	29.89	30.99	33.95	42.68	29.16	30.84	39.89
30	34.06	28.19	27.1	35.0	33.55	33.06	28.94	40.95
31	29.48	25.77	34.74	36.87	30.88	33.48	35.93	35.43
32	30.03	29.58	31.09	30.26	30.9	28.54	28.7	41.94
33	29.27	33.67	30.67	35.62	30.64	37.31	28.96	34.09
34	28.64	34.08	37.13	29.18	30.86	38.81	42.56	33.9
35	25.32	35.19	31.51	27.92	26.36	28.03	41.82	35.05
36	26.01	25.97	37.01	30.43	32.03	37.47	37.51	35.82
37	28.26	26.26	29.49	29.98	28.27	34.0	34.92	38.64
38	36.27	32.65	28.92	34.81	36.65	36.76	40.81	35.19
39	34.43	30.54	27.67	28.8	34.43	37.39	33.2	40.41
40	26.34	27.72	38.13	33.26	30.25	36.57	33.79	47.17
41	24.03	34.68	34.05	28.82	30.72	27.26	38.75	38.49
42	31.9	31.71	34.92	26.48	32.69	34.18	39.91	41.62
43	29.32	28.82	29.98	32.52	32.98	27.2	47.03	31.96
44	24.44	32.65	26.67	29.74	29.39	36.12	32.7	39.23
45	26.4	28.54	35.28	25.99	40.92	28.97	34.12	34.46
46	26.31	28.6	35.63	27.13	29.7	30.19	30.45	31.82
47	27.26	37.46	33.01	25.24	33.45	32.71	35.44	33.95
48	34.18	28.75	36.99	31.59	31.11	40.21	30.28	43.22
49	25.0	29.07	33.42	29.62	33.69	33.45	36.55	42.53
