	_1-1	_1-2	_1-3	_1-4	_1-5	_1-6	_1-7	_1-8
0	56.77	57.72	134.21	61.03	44.44	47.86	47.63	61.15
1	49.39	64.36	91.37	119.22	60.74	73.93	51.23	1055.68
2	54.92	75.45	73.54	243.02	51.3	63.9	59.04	49.3
3	104.82	40.38	53.2	61.67	50.17	65.96	55.32	58.67
4	66.09	43.68	58.7	47.03	66.29	60.8	80.16	54.49
5	46.38	64.7	63.47	56.35	54.14	51.84	47.53	54.52
6	49.45	59.94	160.69	56.53	55.01	64.05	53.64	58.3
7	54.62	53.7	53.35	52.33	57.19	65.59	80.3	50.89
8	54.89	46.82	57.73	106.34	61.72	45.36	47.69	72.6
9	55.19	51.2	64.31	55.01	59.8	59.06	88.09	51.09
10	79.37	51.06	74.18	62.09	67.48	58.71	54.08	68.49
11	44.72	56.94	53.86	58.58	52.77	58.37	46.33	66.98
12	64.9	55.82	44.85	61.04	49.38	51.04	47.03	53.12
13	51.64	50.12	60.66	64.21	53.83	56.12	68.88	67.9
14	56.77	62.3	67.28	52.2	57.91	67.57	79.01	62.13
15	62.38	50.16	48.44	55.94	53.45	49.75	241.5	55.11
16	55.98	50.47	51.54	53.96	49.62	57.13	46.83	67.58
17	48.62	53.31	113.41	44.18	47.18	60.12	51.39	179.42
18	59.09	44.76	49.96	47.13	95.51	52.56	64.45	61.91
19	49.46	74.23	50.23	47.68	72.29	101.49	52.57	62.58
20	46.38	47.22	75.31	85.0	48.83	67.9	54.18	68.78
21	45.56	53.79	55.42	50.56	61.95	61.27	49.64	57.67
22	47.56	69.76	45.5	48.73	70.95	64.06	64.47	45.65
23	49.91	46.64	57.83	68.53	56.97	63.27	89.68	52.14
24	55.56	45.96	57.87	58.13	65.8	54.58	54.11	46.68
25	43.02	59.76	70.05	60.43	60.49	71.81	61.02	62.88
26	45.33	46.07	55.71	44.9	54.31	51.53	58.87	85.65
27	65.5	72.31	50.02	51.57	53.18	46.95	73.63	59.64
28	111.28	49.58	56.88	81.37	48.24	62.27	61.4	57.75
29	43.33	48.43	129.8	57.07	66.77	57.6	67.03	60.86
30	65.71	63.99	57.08	88.87	50.89	59.76	44.97	63.16
31	75.17	42.55	84.22	54.34	49.7	49.8	56.05	54.12
32	47.69	56.51	60.03	56.68	70.64	46.88	47.33	59.26
33	45.64	65.36	47.23	92.11	1043.73	78.41	48.33	55.61
34	47.59	50.72	62.95	57.97	51.59	71.35	65.11	116.16
35	42.16	58.83	59.44	49.52	42.82	61.7	79.72	63.25
36	46.52	44.45	61.94	70.34	52.47	65.03	56.09	56.94
37	110.53	44.74	78.38	66.24	46.23	51.85	55.02	68.47
38	57.46	142.84	47.0	55.7	62.66	67.24	66.03	61.67
39	56.89	108.49	44.97	58.77	59.91	55.88	54.1	60.88
40	68.58	49.23	130.99	72.2	43.36	62.43	57.96	59.05
41	53.37	51.11	71.91	48.9	49.49	53.96	74.42	67.22
42	327.25	71.03	55.04	47.93	50.66	57.98	57.62	63.75
43	47.62	55.0	70.8	54.63	71.94	45.81	65.28	48.9
44	41.66	55.12	85.21	52.82	52.59	56.3	60.66	59.86
45	50.65	54.48	100.85	44.69	58.6	57.53	78.5	61.11
46	43.12	57.51	60.43	52.36	55.08	46.16	50.37	50.66
47	49.17	65.19	80.31	45.93	54.86	46.43	57.63	64.26
48	54.58	60.04	78.2	53.15	54.61	59.48	57.46	61.51
49	40.0	100.72	51.31	49.65	65.41	53.5	51.05	61.86
