	_1-1	_1-2	_1-3	_1-4	_1-5	_1-6	_1-7	_1-8
0	37.96	32.87	38.46	39.71	27.68	29.13	35.38	24.16
1	26.57	42.83	29.1	30.79	27.71	22.62	28.91	27.93
2	32.76	29.07	25.35	25.49	33.19	25.83	25.45	33.7
3	30.58	25.46	31.73	25.22	28.27	29.42	34.15	27.03
4	24.06	31.71	26.36	26.7	35.19	26.32	25.98	33.1
5	26.03	39.39	44.68	39.8	26.35	36.98	25.73	35.54
6	31.12	32.84	32.7	37.08	32.31	26.62	27.3	32.08
7	30.06	31.12	32.08	33.98	28.3	34.75	32.12	34.76
8	31.98	39.13	30.06	37.25	30.52	29.41	35.98	25.21
9	26.68	30.67	29.79	36.39	22.92	33.85	43.67	35.16
10	30.51	32.55	31.83	24.67	29.28	30.63	25.96	33.73
11	35.71	37.06	29.88	29.23	26.07	30.97	27.9	48.93
12	30.07	28.59	36.9	29.38	32.62	29.27	28.33	38.8
13	23.08	37.7	28.51	28.19	35.64	28.23	23.32	24.79
14	23.03	41.69	27.92	27.94	36.78	39.96	30.53	31.15
15	42.94	30.96	30.25	34.45	26.88	27.93	26.2	34.24
16	36.33	26.55	25.03	33.35	29.95	27.79	32.3	27.12
17	25.48	24.94	34.39	35.11	32.12	24.79	30.39	30.94
18	28.71	25.26	31.66	31.21	34.6	34.64	30.86	33.27
19	28.3	26.97	31.13	23.57	29.34	24.81	31.69	25.25
20	30.7	27.76	40.29	30.34	24.83	31.77	34.1	26.29
21	33.17	33.92	25.66	26.1	38.34	35.75	26.2	30.57
22	31.22	26.68	30.43	36.68	23.9	26.44	33.25	30.26
23	31.12	26.67	34.97	28.06	34.87	28.39	24.93	34.43
24	29.35	28.65	31.24	32.19	33.14	24.25	23.77	31.83
25	24.41	35.83	32.3	33.1	39.42	30.8	38.0	37.46
26	28.3	27.16	30.0	33.38	33.74	28.17	38.34	31.9
27	26.39	27.41	32.4	31.51	33.75	27.19	37.29	38.19
28	28.29	24.1	34.56	42.85	32.79	29.23	36.1	39.57
29	27.1	28.46	26.48	26.75	28.36	29.16	28.12	39.89
30	27.82	28.19	29.56	35.0	33.55	27.77	28.94	26.13
31	26.19	28.65	25.94	36.87	27.32	33.48	35.93	27.61
32	29.89	28.01	31.09	30.26	30.9	28.54	28.7	24.76
33	28.23	33.67	30.67	24.28	36.49	25.67	28.96	29.02
34	28.64	34.08	37.13	29.49	26.58	31.48	42.56	33.9
35	29.71	30.73	38.27	24.67	27.99	37.87	30.39	35.05
36	24.14	32.94	28.9	30.43	32.03	37.47	29.69	35.82
37	28.26	24.92	28.25	36.37	27.49	34.0	27.88	26.94
38	28.48	25.57	35.19	27.02	36.65	36.76	25.13	38.38
39	34.43	30.54	27.67	28.8	34.43	30.38	26.73	40.41
40	25.02	32.55	27.12	33.26	31.26	36.57	33.79	47.17
41	24.03	29.51	28.38	29.64	42.48	24.94	39.38	38.49
42	31.9	29.11	34.92	28.58	25.25	25.95	39.91	41.62
43	29.32	24.33	30.23	34.81	32.98	42.74	24.52	27.65
44	33.55	29.04	38.97	25.34	36.08	31.86	27.53	39.23
45	42.07	30.09	35.28	28.92	28.45	23.04	34.12	27.85
46	26.31	32.68	27.29	32.81	29.7	27.98	30.45	31.82
47	27.26	37.46	26.16	25.24	27.56	33.89	35.44	33.95
48	34.18	25.66	36.99	31.59	24.17	29.12	25.1	25.77
49	25.0	29.07	33.42	29.62	33.69	33.45	36.55	32.91
