	_1-1	_1-2	_1-3	_1-4	_1-5	_1-6	_1-7	_1-8
0	15.31	21.57	93.44	18.19	16.04	18.61	14.41	19.29
1	23.17	17.98	18.74	24.28	24.05	32.7	21.71	30.74
2	19.95	44.66	20.23	25.86	17.34	15.8	17.1	19.27
3	31.95	39.45	36.0	35.8	17.49	36.22	20.8	28.5
4	14.95	17.6	25.18	25.12	24.31	15.2	18.39	21.04
5	19.7	23.64	17.84	15.44	16.46	15.42	17.17	19.73
6	17.13	26.13	126.0	18.08	22.82	17.67	27.52	19.09
7	22.17	17.15	19.03	31.45	17.81	30.31	19.5	17.59
8	19.43	17.59	37.27	70.69	22.38	15.31	23.5	23.77
9	17.38	26.87	33.97	17.48	21.03	19.67	45.74	18.91
10	47.96	19.42	35.59	36.2	38.43	15.08	18.97	20.26
11	17.76	18.68	19.14	21.18	26.99	16.38	16.55	17.95
12	43.73	20.71	28.93	16.37	22.2	23.86	18.13	15.37
13	34.17	19.27	23.51	23.94	18.11	26.48	19.36	15.38
14	15.59	18.47	37.91	23.05	20.21	26.15	20.48	63.12
15	17.42	17.96	53.14	20.33	14.84	18.35	22.66	22.08
16	18.06	15.33	39.44	26.05	19.46	16.01	14.62	16.21
17	16.13	18.73	80.75	31.89	18.14	17.49	27.26	22.57
18	16.33	29.28	16.79	15.18	61.88	16.93	33.24	29.57
19	19.84	46.27	17.46	30.65	17.14	15.44	21.49	16.9
20	15.63	18.53	34.33	54.58	21.25	36.02	17.06	18.91
21	16.23	19.09	34.33	17.81	23.06	24.74	17.54	28.35
22	14.15	23.03	66.7	17.13	16.01	14.63	15.09	24.58
23	24.94	15.44	20.17	50.91	21.72	20.02	17.8	18.67
24	18.73	16.67	24.29	25.2	31.73	18.75	18.84	18.53
25	16.61	22.53	21.25	24.3	20.91	39.88	21.09	26.54
26	15.49	25.88	15.29	17.67	19.2	45.93	21.37	49.19
27	37.85	42.95	16.87	18.68	18.85	18.8	39.97	20.29
28	18.98	23.18	22.57	33.82	16.19	32.47	17.8	18.61
29	15.09	20.46	18.36	14.86	17.78	29.18	27.5	22.13
30	16.34	35.03	130.33	52.49	16.84	15.06	16.34	18.32
31	38.99	90.66	49.78	16.59	23.02	15.1	17.78	18.34
32	19.81	24.15	28.3	26.06	39.35	17.05	19.62	18.82
33	20.81	31.21	15.79	19.7	21.87	44.06	18.3	43.62
34	17.99	15.12	23.16	16.04	16.12	18.18	19.88	82.74
35	15.12	20.26	23.59	20.73	18.05	19.99	16.91	27.65
36	17.9	24.99	19.16	38.67	16.32	25.3	13.6	22.33
37	77.33	17.92	22.32	16.53	19.55	16.33	16.65	77.99
38	21.46	21.14	27.91	16.57	24.44	29.94	19.04	134.23
39	20.97	76.02	16.57	30.32	24.82	19.64	19.4	20.59
40	21.11	17.72	68.71	36.92	17.16	24.38	27.71	17.62
41	28.44	20.27	39.09	18.12	14.34	16.08	14.97	27.05
42	293.82	26.48	17.5	24.94	37.16	16.02	19.43	23.25
43	17.93	17.89	16.74	16.77	27.34	29.32	21.61	21.61
44	18.44	23.66	23.22	16.21	27.55	25.81	23.37	21.02
45	50.32	19.8	67.59	16.78	18.55	17.91	20.08	14.72
46	15.72	15.98	38.4	22.24	24.32	26.01	20.14	20.13
47	20.95	27.88	36.79	20.06	16.95	23.89	22.31	32.35
48	17.12	15.22	40.1	20.15	14.97	32.58	22.72	24.58
49	14.06	70.49	17.43	18.62	31.49	19.8	14.33	25.93
