	_1-1	_1-2	_1-3	_1-4	_1-5	_1-6	_1-7	_1-8
0	54.48	57.25	134.21	61.03	44.44	47.86	47.63	43.9
1	49.39	64.36	48.47	56.75	53.2	58.37	51.23	59.4
2	55.84	75.45	48.54	51.97	51.3	42.98	43.84	54.66
3	63.48	68.73	69.53	61.67	46.78	65.96	55.32	56.74
4	40.03	51.26	52.3	52.96	61.19	43.31	45.75	55.46
5	46.38	64.7	63.47	56.35	43.87	51.84	44.5	54.52
6	48.9	59.94	160.69	56.53	55.01	43.67	55.16	59.96
7	53.73	49.35	51.84	67.52	47.24	65.59	53.06	50.89
8	52.18	57.89	69.5	106.34	54.21	45.36	61.23	50.5
9	44.52	57.67	64.31	54.18	46.25	54.43	88.09	57.41
10	79.37	51.06	74.18	62.09	67.48	46.16	45.91	54.68
11	54.78	56.94	49.46	51.46	53.7	48.19	45.38	66.98
12	75.23	50.2	67.22	46.36	56.16	53.86	47.03	53.12
13	59.59	59.55	57.06	53.22	55.22	55.16	43.68	42.83
14	40.23	62.3	67.28	52.2	57.91	67.57	51.76	96.56
15	62.38	50.16	84.96	55.94	40.96	47.27	50.21	55.11
16	55.98	42.83	65.92	60.95	49.62	45.23	46.83	46.13
17	44.62	45.41	113.41	67.54	51.34	43.51	58.7	54.93
18	46.32	55.39	49.96	45.98	95.51	52.56	64.45	61.91
19	49.46	74.23	50.23	54.84	47.64	43.51	52.57	43.01
20	47.8	47.22	75.31	86.45	47.58	67.9	51.94	46.52
21	50.8	53.79	63.36	44.83	61.95	61.27	44.46	59.49
22	47.56	49.06	98.46	53.45	40.76	42.15	45.89	54.81
23	57.21	44.28	57.83	79.04	56.97	49.17	43.49	52.14
24	50.81	45.96	56.69	58.13	68.79	43.88	43.63	48.65
25	42.7	59.76	53.5	59.07	60.49	71.81	61.02	62.88
26	45.33	52.38	47.1	52.21	54.31	76.5	58.87	83.44
27	65.5	72.31	50.02	51.57	53.18	46.95	77.76	59.99
28	48.14	48.52	58.15	81.37	53.24	62.27	51.56	57.75
29	43.33	50.01	48.58	42.83	47.61	57.6	56.94	60.86
30	44.92	63.99	164.23	88.87	50.89	44.8	44.97	45.84
31	64.82	121.21	81.75	54.34	49.49	49.8	56.05	48.17
32	53.94	53.06	60.03	56.68	70.64	46.88	47.33	44.41
33	49.61	65.36	47.23	45.27	60.76	70.7	48.33	74.81
34	47.59	50.72	62.95	46.3	43.44	50.83	65.11	116.16
35	46.72	51.81	63.71	46.34	46.98	59.67	45.62	63.25
36	43.13	62.73	48.91	70.34	52.47	65.03	44.7	56.94
37	110.53	43.81	50.12	57.84	51.77	51.85	43.53	105.25
38	50.66	48.1	63.31	45.71	62.66	67.24	45.66	174.3
39	56.89	108.49	44.97	58.77	59.91	51.02	47.33	60.88
40	49.76	51.17	96.91	72.2	49.68	62.43	57.96	59.05
41	53.37	50.89	67.84	48.74	58.04	42.04	55.78	67.22
42	327.25	56.63	55.04	54.89	63.72	43.12	57.62	63.75
43	47.62	42.92	48.94	50.99	71.94	74.12	46.38	50.68
44	47.58	53.81	65.16	42.44	64.89	59.67	51.83	59.86
45	91.92	51.66	100.85	46.42	47.66	43.14	55.69	42.96
46	43.12	50.33	67.36	54.3	55.08	55.46	50.37	50.66
47	49.17	65.19	63.8	45.93	45.47	59.32	57.63	64.26
48	54.58	41.82	78.2	53.15	40.1	62.22	48.18	49.35
49	40.0	100.72	51.31	49.65	65.41	53.5	51.05	59.9
