	_1-1	_1-2	_1-3	_1-4	_1-5	_1-6	_1-7	_1-8
0	15.28	40.82	93.44	18.19	16.04	18.61	14.41	15.47
1	23.17	17.98	21.35	36.84	18.01	17.22	21.71	16.45
2	17.7	44.66	16.06	52.84	17.34	16.58	49.68	1039.73
3	18.16	21.23	16.34	35.8	26.69	36.22	20.8	18.4
4	2859.67	17.02	37.01	29.48	28.36	52.22	27.74	14.47
5	19.7	23.64	17.84	15.44	15.55	15.42	14.69	19.73
6	22.57	26.13	126.0	18.08	22.82	23.06	19.07	15.57
7	17.53	19.09	27.18	21.27	17.94	30.31	20.03	17.59
8	16.81	14.93	24.96	70.69	19.0	15.31	29.72	36.28
9	15.85	17.86	33.97	23.52	20.18	29.54	45.74	16.24
10	47.96	19.42	35.59	36.2	38.43	21.47	17.79	19.49
11	24.61	18.68	19.53	18.49	18.31	17.3	23.29	17.95
12	16.03	1155.17	15.97	38.78	39.85	18.84	18.13	15.37
13	25.18	21.02	20.82	18.25	16.14	19.53	18.23	18.09
14	25.57	18.47	37.91	23.05	20.21	26.15	27.58	20.74
15	17.42	17.96	18.59	20.33	18.17	18.79	43.68	22.08
16	18.06	17.78	16.41	19.26	19.46	22.45	14.62	23.55
17	26.13	17.84	80.75	15.34	15.07	18.3	40.16	15.57
18	16.25	17.34	16.79	18.79	61.88	16.93	33.24	29.57
19	19.84	46.27	17.46	23.16	16.85	15.56	21.49	16.28
20	15.37	18.53	34.33	22.03	17.76	36.02	18.68	24.44
21	20.12	19.09	16.3	23.45	23.06	24.74	20.97	19.59
22	14.15	17.18	16.45	18.39	35.6	27.43	27.24	29.15
23	46.39	20.13	20.17	25.33	21.72	15.19	22.63	18.67
24	19.91	16.67	22.1	25.2	16.73	16.11	18.49	16.92
25	17.11	22.53	20.23	22.95	20.91	39.88	21.09	26.54
26	15.49	15.28	17.65	14.97	19.2	21.32	21.37	20.26
27	37.85	42.95	16.87	18.68	18.85	18.8	17.8	17.27
28	16.48	54.23	17.32	33.82	21.75	32.47	154.54	18.61
29	15.09	19.3	26.68	17.87	18.46	29.18	29.61	22.13
30	17.79	35.03	20.98	52.49	16.84	16.07	16.34	22.93
31	16.82	89.61	23.88	16.59	18.81	15.1	17.78	15.59
32	15.0	22.94	28.3	26.06	39.35	17.05	19.62	19.54
33	49.42	31.21	15.79	16.18	18.45	17.36	18.3	20.1
34	17.99	15.12	23.16	21.72	18.12	17.39	19.88	82.74
35	22.22	26.27	19.3	22.16	22.18	19.74	16.89	27.65
36	19.93	24.49	19.14	38.67	16.32	25.3	24.14	22.33
37	77.33	16.64	29.54	43.18	15.57	16.33	24.11	20.17
38	16.65	19.1	18.91	15.63	24.44	29.94	22.54	32.2
39	20.97	76.02	16.57	30.32	24.82	14.4	1574.97	20.59
40	24.69	44.23	22.31	36.92	16.89	24.38	27.71	17.62
41	28.44	18.3	18.74	18.05	15.62	28.61	19.7	27.05
42	293.82	17.58	17.5	25.99	28.99	18.7	19.43	23.25
43	17.93	16.54	14.63	21.22	27.34	29.45	32.12	26.69
44	19.79	27.56	18.47	18.12	21.48	15.94	26.31	21.02
45	22.26	15.06	67.59	18.82	15.11	17.57	19.24	14.61
46	15.72	15.33	23.13	18.26	24.32	18.2	20.14	20.13
47	20.95	27.88	17.32	20.06	27.41	22.33	22.31	32.35
48	17.12	23.83	40.1	20.15	15.04	20.56	21.01	25.57
49	14.06	70.49	17.43	18.62	31.49	19.8	14.33	19.38
