	_1-1	_1-2	_1-3	_1-4	_1-5	_1-6	_1-7	_1-8
0	44.09	69.91	134.21	61.03	44.44	47.86	47.63	63.02
1	49.39	64.36	51.37	74.62	54.8	47.12	51.23	62.6
2	53.64	75.45	46.7	84.45	51.3	48.75	85.55	1079.43
3	51.36	56.25	44.86	61.67	60.97	65.96	55.32	69.22
4	2901.78	46.13	72.38	60.73	63.51	90.23	66.63	71.62
5	46.38	64.7	63.47	56.35	48.65	51.84	53.01	54.52
6	53.51	59.94	160.69	56.53	55.01	58.09	56.47	68.45
7	45.57	49.81	60.36	53.73	54.6	65.59	56.0	50.89
8	47.44	45.15	54.02	106.34	53.1	45.36	63.09	81.39
9	41.76	53.59	64.31	55.61	51.07	72.67	88.09	64.77
10	79.37	51.06	74.18	62.09	67.48	57.2	52.57	68.89
11	57.83	56.94	46.93	57.9	53.55	54.33	69.63	66.98
12	46.42	1191.22	52.22	76.96	82.09	57.22	47.03	53.12
13	51.73	55.55	49.21	47.7	45.28	54.36	53.5	68.18
14	56.94	62.3	67.28	52.2	57.91	67.57	63.5	84.9
15	62.38	50.16	63.86	55.94	46.91	57.54	89.61	55.11
16	55.98	51.43	45.05	48.89	49.62	56.09	46.83	76.59
17	61.54	48.35	113.41	43.28	47.89	60.48	90.57	56.92
18	48.45	53.57	49.96	51.74	95.51	52.56	64.45	61.91
19	49.46	74.23	50.23	50.21	54.48	49.08	52.57	68.03
20	47.2	47.22	75.31	61.33	67.78	67.9	61.11	74.33
21	50.49	53.79	46.14	64.42	61.95	61.27	57.23	68.81
22	47.56	43.38	48.03	62.14	63.6	63.77	66.15	73.49
23	73.22	47.52	57.83	56.86	56.97	48.12	57.85	52.14
24	50.18	45.96	51.68	58.13	56.05	50.53	56.1	63.2
25	51.5	59.76	56.46	56.06	60.49	71.81	61.02	62.88
26	45.33	53.52	48.51	44.46	54.31	54.96	58.87	71.32
27	65.5	72.31	50.02	51.57	53.18	46.95	57.06	63.52
28	43.52	83.16	47.9	81.37	55.06	62.27	192.31	57.75
29	43.33	48.04	63.97	44.87	47.75	57.6	75.7	60.86
30	44.68	63.99	53.08	88.87	50.89	49.34	44.97	68.57
31	46.19	122.28	60.1	54.34	55.09	49.8	56.05	69.33
32	52.37	50.51	60.03	56.68	70.64	46.88	47.33	71.99
33	82.23	65.36	47.23	54.51	49.1	51.74	48.33	62.1
34	47.59	50.72	62.95	55.95	53.94	53.09	65.11	116.16
35	63.67	61.6	55.37	49.37	55.93	60.5	56.49	63.25
36	54.81	68.05	61.66	70.34	52.47	65.03	62.06	56.94
37	110.53	43.34	63.74	79.81	45.95	51.85	66.38	73.83
38	47.41	46.69	57.66	45.45	62.66	67.24	67.81	77.51
39	56.89	108.49	44.97	58.77	59.91	48.74	1622.29	60.88
40	57.01	79.61	50.79	72.2	54.18	62.43	57.96	59.05
41	53.37	54.09	44.97	45.48	61.5	72.88	59.29	67.22
42	327.25	44.74	55.04	57.08	74.81	50.88	57.62	63.75
43	47.62	43.46	45.54	70.04	71.94	66.4	72.69	78.14
44	50.65	58.83	59.39	55.59	58.96	54.08	63.97	59.86
45	53.49	43.37	100.85	48.07	47.83	55.15	63.1	60.27
46	43.12	47.66	53.06	53.29	55.08	54.95	50.37	50.66
47	49.17	65.19	51.92	45.93	62.5	55.33	57.63	64.26
48	54.58	53.36	78.2	53.15	44.59	50.3	58.82	79.81
49	40.0	100.72	51.31	49.65	65.41	53.5	51.05	64.22
