	_1-1	_1-2	_1-3	_1-4	_1-5	_1-6	_1-7	_1-8
0	41.04	26.72	38.46	39.71	27.68	29.13	35.38	37.33
1	26.57	42.83	24.9	28.71	32.35	31.76	28.91	29.62
2	26.48	29.07	29.1	27.97	33.19	33.61	28.78	35.39
3	25.36	30.42	26.31	25.22	26.32	29.42	34.15	25.08
4	31.12	26.6	27.77	26.17	29.03	28.38	26.48	26.6
5	26.03	39.39	44.68	39.8	28.32	36.98	31.21	35.54
6	28.34	32.84	32.7	37.08	32.31	27.45	26.27	26.05
7	35.87	29.7	27.68	26.3	26.41	34.75	27.48	34.76
8	26.03	32.36	32.45	37.25	38.89	29.41	29.72	28.64
9	24.63	35.57	29.79	26.88	32.35	28.96	43.67	31.33
10	30.51	32.55	31.83	24.67	29.28	34.31	28.03	30.32
11	35.58	37.06	28.88	31.11	25.69	33.66	37.19	48.93
12	36.67	33.05	40.28	28.91	31.97	26.95	28.33	38.8
13	26.17	28.78	36.34	34.69	28.69	33.81	28.5	32.34
14	27.18	41.69	27.92	27.94	36.78	39.96	27.12	27.48
15	42.94	30.96	27.34	34.45	35.0	26.58	26.05	34.24
16	36.33	27.92	36.79	27.69	29.95	27.43	32.3	27.77
17	34.01	30.83	34.39	33.36	26.7	34.7	36.66	32.73
18	27.83	25.83	31.66	32.24	34.6	34.64	30.86	33.27
19	28.3	26.97	31.13	34.61	34.31	29.98	31.69	33.44
20	25.42	27.76	40.29	30.41	37.37	31.77	26.09	24.67
21	37.56	33.92	33.2	36.08	38.34	35.75	32.28	25.98
22	31.22	32.0	39.76	26.67	28.41	27.99	28.3	41.72
23	35.26	26.73	34.97	36.36	34.87	32.69	29.08	34.43
24	39.12	28.65	29.32	32.19	38.81	24.4	24.41	34.95
25	30.84	35.83	28.44	28.37	39.42	30.8	38.0	37.46
26	28.3	32.46	29.91	31.62	33.74	28.15	38.34	29.06
27	26.39	27.41	32.4	31.51	33.75	27.19	34.95	9.82
28	27.81	26.45	29.76	42.85	25.97	29.23	33.32	39.57
29	27.1	31.38	27.75	25.14	27.06	29.16	36.81	39.89
30	31.07	28.19	32.04	35.0	33.55	33.92	28.94	26.39
31	30.2	35.58	32.01	36.87	37.61	33.48	35.93	25.52
32	41.29	28.66	31.09	30.26	30.9	28.54	28.7	35.12
33	34.53	33.67	30.67	31.83	24.55	29.0	28.96	26.44
34	28.64	34.08	37.13	23.95	26.47	26.67	42.56	33.9
35	31.48	26.45	27.65	31.41	32.82	26.42	28.81	35.05
36	23.39	38.56	31.62	30.43	32.03	37.47	27.87	35.82
37	28.26	27.1	36.23	28.34	28.97	34.0	37.25	28.75
38	32.89	32.05	30.36	28.93	36.65	36.76	41.44	35.76
39	34.43	30.54	27.67	28.8	34.43	38.75	29.29	40.41
40	29.1	28.72	42.62	33.26	29.19	36.57	33.79	47.17
41	24.03	36.55	29.43	32.49	31.67	35.57	38.86	38.49
42	31.9	29.33	34.92	31.02	36.56	34.19	39.91	41.62
43	29.32	35.38	27.83	32.8	32.98	28.02	31.45	50.67
44	33.68	36.71	28.24	25.68	26.9	27.99	26.27	39.23
45	26.19	25.59	35.28	25.04	28.1	25.33	25.22	28.42
46	26.31	36.27	52.33	26.7	29.7	37.73	30.45	31.82
47	27.26	37.46	26.02	25.24	28.88	28.23	35.44	33.95
48	34.18	30.99	36.99	31.59	34.33	32.17	29.5	28.41
49	25.0	29.07	33.42	29.62	33.69	33.45	36.55	27.52
