	_1-1	_1-2	_1-3	_1-4	_1-5	_1-6	_1-7	_1-8
0	17.9	21.28	25.12	18.3	20.89	27.36	23.6	19.23
1	30.33	18.11	17.01	16.85	24.62	20.58	21.05	19.62
2	17.63	33.25	16.68	14.54	16.97	16.35	19.63	17.5
3	29.84	18.74	28.63	36.4	15.78	16.95	17.61	16.31
4	27.02	21.73	18.38	15.58	27.05	16.38	15.81	17.12
5	17.3	21.16	17.3	22.44	24.27	18.4	15.0	16.48
6	19.0	17.32	30.23	16.72	15.47	19.5	26.81	16.25
7	15.38	19.33	18.2	24.73	23.24	17.62	15.8	26.79
8	19.31	24.98	21.16	18.92	31.6	39.75	16.0	17.25
9	17.86	16.84	14.3	15.42	16.5	25.43	26.81	14.65
10	21.64	15.28	17.82	17.83	17.64	16.07	17.5	19.94
11	28.08	18.64	15.48	19.83	16.55	18.34	19.21	21.83
12	18.13	28.21	35.78	16.07	18.55	16.91	15.39	17.66
13	19.95	18.61	15.7	18.09	17.79	15.48	15.85	20.25
14	19.61	14.17	18.75	15.06	16.49	36.92	18.14	20.64
15	21.89	18.88	15.79	37.14	35.4	19.88	19.06	22.92
16	15.03	19.73	56.57	16.06	27.85	15.34	15.5	16.33
17	18.27	15.81	18.75	21.73	26.82	15.63	14.14	29.07
18	15.28	20.36	22.76	15.41	16.75	19.23	15.85	18.92
19	16.34	21.28	32.44	17.99	20.1	18.22	17.27	19.48
20	23.36	24.13	32.91	17.85	17.72	21.18	22.27	20.71
21	18.73	15.83	22.67	22.09	20.05	18.35	15.83	16.54
22	14.79	14.98	19.41	17.82	14.92	21.89	24.8	15.77
23	20.76	17.3	21.65	23.4	20.19	25.18	21.37	21.78
24	15.87	15.97	17.84	18.74	16.91	17.52	17.94	67.0
25	29.53	18.48	15.45	23.08	20.3	29.94	17.91	16.99
26	20.01	20.39	34.92	21.61	21.79	22.13	26.17	16.69
27	18.34	16.48	29.46	15.51	18.43	19.23	20.77	17.65
28	21.06	29.68	17.81	17.1	20.71	22.95	28.33	19.12
29	21.38	15.85	20.8	18.91	21.47	17.97	25.8	22.65
