	_1-1	_1-2	_1-3	_1-4	_1-5	_1-6	_1-7	_1-8
0	51.16	55.46	61.42	60.71	52.66	57.52	51.97	53.26
1	67.39	61.54	48.56	46.03	57.54	50.22	60.68	51.45
2	63.38	71.25	48.75	45.19	49.6	44.75	58.23	50.82
3	62.25	53.67	61.51	69.62	43.19	47.53	46.19	43.36
4	70.62	53.67	71.07	44.04	64.8	49.04	47.18	48.98
5	55.28	62.02	53.02	52.51	53.62	45.73	45.44	45.19
6	64.04	53.31	69.04	53.85	54.76	48.58	56.3	44.28
7	49.35	48.68	51.38	56.04	55.87	49.88	46.93	55.05
8	54.45	55.52	51.36	53.56	59.89	72.25	43.47	47.32
9	60.48	46.52	42.81	49.49	44.71	52.89	57.13	49.94
10	63.97	44.53	48.48	48.3	52.97	50.56	48.64	50.16
11	65.34	62.1	44.31	58.38	54.21	60.33	51.8	54.98
12	49.85	64.83	71.02	48.02	55.41	53.17	47.69	54.36
13	54.85	53.99	50.59	49.01	46.08	45.16	48.48	55.12
14	51.3	44.49	50.16	46.08	45.09	66.12	46.75	54.66
15	52.52	65.81	47.28	68.81	66.2	51.84	54.23	57.04
16	52.14	50.28	87.46	50.57	60.59	46.18	54.0	54.34
17	57.08	54.46	48.48	63.19	64.33	47.91	41.66	74.43
18	50.45	54.99	55.22	43.09	54.02	55.81	43.72	54.12
19	52.52	51.97	67.0	46.34	47.71	49.97	55.98	46.72
20	66.26	55.24	64.42	61.63	54.96	59.26	50.56	52.16
21	53.98	52.55	51.2	73.54	54.78	48.59	49.2	58.91
22	48.99	50.69	66.2	55.47	52.26	52.75	57.89	51.85
23	69.37	50.21	52.7	51.53	49.56	53.2	53.85	50.78
24	51.87	47.7	50.93	45.44	53.47	44.55	44.96	101.52
25	64.7	61.62	47.18	53.48	52.03	59.53	46.45	44.42
26	55.62	54.35	65.33	69.81	49.02	49.45	67.73	44.06
27	51.5	52.63	65.16	46.19	49.05	57.64	48.11	45.81
28	58.95	84.06	50.11	46.88	49.49	59.91	66.47	52.51
29	55.73	46.87	60.18	58.53	55.82	46.91	58.29	50.48
