	_1-1	_1-2	_1-3	_1-4	_1-5	_1-6	_1-7	_1-8
0	30.51	26.58	28.19	34.87	32.08	41.05	39.36	49.63
1	30.58	30.01	31.87	28.73	32.43	34.87	36.56	35.86
2	34.54	30.68	37.32	28.78	29.65	35.65	34.67	46.95
3	32.71	36.82	37.51	36.69	29.44	29.82	39.14	44.81
4	29.7	29.38	35.49	30.98	28.75	28.96	35.6	52.88
5	31.39	35.3	32.28	28.92	35.03	35.84	33.79	42.01
6	28.95	26.14	30.33	30.96	35.4	33.36	37.08	63.18
7	36.99	26.43	40.45	34.13	32.55	33.2	40.65	46.42
8	45.07	37.27	29.36	29.65	33.88	32.3	41.18	38.89
9	52.26	28.49	28.86	29.22	32.73	29.34	33.22	54.58
10	37.66	28.49	40.91	34.41	32.25	39.08	36.15	42.19
11	31.17	26.51	29.94	31.61	32.11	37.7	34.34	38.66
12	33.87	32.68	24.99	35.0	34.62	35.15	41.3	44.26
13	28.22	28.14	35.76	30.93	28.37	27.42	40.97	44.84
14	34.71	27.84	34.84	27.43	30.75	41.1	38.89	48.24
15	35.45	26.79	34.18	34.17	29.08	34.03	41.26	38.77
16	27.58	31.77	27.71	32.98	27.91	34.31	32.77	43.42
17	30.29	28.04	32.99	30.18	34.25	32.41	40.38	43.73
18	37.01	30.93	27.01	27.97	30.13	41.08	42.82	46.74
19	33.42	26.8	40.73	32.05	28.55	31.54	33.42	43.47
20	29.71	37.12	25.12	44.26	34.86	29.79	37.38	39.14
21	31.51	26.2	31.62	34.88	30.04	27.78	36.4	39.1
22	35.04	26.31	29.77	30.37	30.31	33.09	35.16	49.03
23	29.75	37.04	27.44	34.33	33.07	32.35	37.84	39.52
24	32.95	33.47	28.99	29.24	30.04	30.53	39.56	46.79
25	26.92	25.4	39.63	32.21	42.65	37.1	34.39	39.53
26	26.3	30.71	26.39	28.3	33.46	34.04	38.12	37.06
27	37.24	26.92	26.3	30.88	30.65	37.38	41.87	38.93
28	26.39	35.08	38.75	38.39	27.47	31.69	41.02	43.85
29	32.76	34.5	30.43	34.54	35.81	32.15	34.54	47.53
