	_1-1	_1-2	_1-3	_1-4	_1-5	_1-6	_1-7	_1-8
0	16.27	37.56	19.01	17.45	35.71	18.73	16.84	17.57
1	15.05	16.36	34.99	16.08	18.87	25.21	19.81	17.42
2	15.73	17.98	24.85	21.84	41.93	15.91	17.45	18.85
3	21.34	1266.7	27.16	42.72	18.46	19.32	17.57	16.97
4	66.12	16.42	23.11	33.36	18.16	20.3	27.6	18.8
5	18.2	20.82	18.22	22.41	23.19	18.86	17.34	23.48
6	24.51	16.78	20.26	25.54	3271.87	16.39	25.23	16.56
7	29.0	22.59	20.57	42.68	14.92	20.33	20.12	19.58
8	18.76	15.11	16.62	17.24	17.54	17.25	17.4	49.87
9	26.8	15.33	19.79	50.69	27.92	53.42	62.78	40.39
10	17.25	23.77	14.96	20.96	19.62	17.09	29.83	115.79
11	18.52	17.79	33.16	18.19	18.63	21.94	16.21	14.54
12	49.45	27.62	41.67	30.9	27.74	17.46	23.78	21.5
13	15.78	36.22	58.89	20.9	42.71	15.23	29.31	24.44
14	17.58	17.41	63.49	23.53	18.14	18.4	44.41	68.3
15	21.28	24.39	23.59	36.89	23.95	34.83	23.31	19.67
16	19.73	21.28	39.65	18.12	17.14	28.65	28.57	24.97
17	22.72	14.09	26.56	22.86	26.35	16.3	16.47	40.17
18	30.67	18.21	19.83	15.18	18.09	38.49	81.93	24.66
19	18.31	17.54	20.73	24.65	30.26	16.64	19.35	20.83
20	24.04	18.64	19.07	14.5	1578.54	16.44	20.14	17.06
21	20.24	15.9	19.19	19.0	20.86	16.43	171.35	18.12
22	18.65	23.77	19.98	21.82	14.46	22.79	143.92	22.96
23	16.8	22.66	30.01	19.25	48.66	22.82	27.9	29.45
24	20.02	36.53	14.56	17.75	19.93	16.9	20.69	26.97
25	19.06	18.87	25.73	20.23	17.82	71.97	22.6	17.96
26	17.99	22.96	17.1	18.55	44.49	16.58	27.4	21.98
27	26.43	20.74	17.82	20.73	19.06	20.35	17.54	23.29
28	20.21	24.42	20.78	163.64	20.69	21.47	22.62	20.93
29	24.12	18.99	16.7	31.99	36.32	32.69	21.22	27.25
