	_1-1	_1-2	_1-3	_1-4	_1-5	_1-6	_1-7	_1-8
0	47.97	66.0	48.42	53.05	68.05	61.72	58.05	68.38
1	42.92	47.04	68.53	46.4	52.27	61.36	57.24	53.89
2	51.29	49.32	63.92	51.88	73.45	52.28	52.91	68.17
3	55.33	1306.33	67.07	81.03	47.64	50.15	56.2	61.85
4	96.57	47.14	61.55	65.14	48.15	49.99	63.65	72.86
5	50.68	56.78	52.2	52.33	59.13	55.72	50.02	65.92
6	54.03	43.75	51.41	57.5	3310.78	51.22	61.98	79.08
7	64.82	50.11	62.77	78.95	48.11	54.87	61.51	66.4
8	66.24	51.08	48.21	47.81	52.66	50.7	60.24	90.47
9	81.51	45.8	50.04	82.26	62.02	85.5	98.19	99.38
10	58.82	53.4	56.47	56.64	52.52	57.34	69.81	159.99
11	48.84	45.15	63.82	51.19	51.69	60.67	50.36	54.41
12	85.9	62.25	67.96	67.86	62.92	53.95	66.03	67.08
13	44.93	66.05	96.58	51.99	72.69	43.43	71.75	70.99
14	54.31	47.19	100.48	51.54	50.0	60.65	86.04	118.13
15	58.12	51.32	58.55	73.02	54.55	77.77	69.36	59.49
16	48.47	54.45	67.89	51.88	45.75	63.91	62.24	71.37
17	52.8	42.77	61.15	53.16	63.22	50.18	56.35	83.68
18	68.75	49.39	46.63	45.94	48.93	85.27	126.99	72.59
19	53.19	46.01	62.72	58.17	59.53	49.1	56.36	67.97
20	54.8	57.02	45.38	59.79	1616.08	48.19	58.07	57.12
21	52.65	43.05	52.11	54.69	51.93	45.67	209.6	59.27
22	54.58	51.75	51.11	53.32	47.26	56.62	180.71	72.7
23	48.09	60.5	58.81	54.84	83.9	55.4	66.48	69.44
24	53.21	71.87	44.26	47.63	50.08	48.92	60.46	75.42
25	47.5	45.1	67.51	53.3	62.27	111.77	56.52	59.63
26	45.92	52.98	44.92	46.6	79.41	52.13	69.18	61.35
27	65.48	48.21	45.37	52.7	50.83	58.35	74.76	62.49
28	47.87	64.04	61.37	204.77	49.13	54.33	64.95	65.96
29	57.78	54.42	48.2	68.32	73.4	66.69	56.51	75.06
