	_1-1	_1-2	_1-3	_1-4	_1-5	_1-6	_1-7	_1-8
0	41.6	34.58	36.19	33.26	31.08	38.93	34.91	31.43
1	28.93	29.61	30.7	29.1	31.9	38.04	34.98	45.45
2	35.96	32.57	35.44	30.92	39.25	41.36	34.79	35.03
3	26.19	31.97	34.9	38.8	27.4	27.72	56.84	38.21
4	28.8	32.05	37.13	35.76	33.09	31.39	36.62	33.35
5	26.56	38.24	31.66	33.74	27.4	34.72	33.92	48.31
6	33.85	31.63	32.09	31.23	35.42	36.75	32.74	45.71
7	33.19	27.95	27.62	32.76	34.3	30.03	42.47	39.58
8	39.76	27.09	35.4	36.84	39.54	35.82	38.01	43.63
9	46.38	28.22	29.97	32.71	37.16	34.4	39.01	47.43
10	35.17	27.08	29.86	36.79	32.16	36.0	33.07	31.43
11	39.82	32.43	27.04	35.42	35.37	29.32	36.85	42.52
12	39.34	29.37	36.5	27.55	32.85	42.52	32.9	37.25
13	34.47	31.94	37.0	32.95	36.8	30.81	31.86	30.0
14	33.79	33.09	33.03	27.4	33.93	36.98	40.57	40.19
15	27.56	31.82	41.64	26.77	38.36	30.82	31.13	36.3
16	28.7	32.4	30.51	51.53	29.53	34.89	32.98	37.6
17	28.07	27.71	28.27	29.31	48.18	32.14	29.92	36.34
18	28.77	31.06	35.31	29.46	38.28	35.64	34.36	32.01
19	39.29	26.88	40.13	31.09	36.18	31.29	28.02	32.03
20	28.71	37.13	30.29	38.36	31.39	27.61	42.46	41.48
21	28.68	28.48	27.74	31.98	36.56	40.18	39.0	35.89
22	29.46	33.3	30.03	29.68	34.9	33.74	36.44	46.28
23	40.55	34.53	40.66	38.11	36.59	32.96	34.58	37.1
24	29.79	27.0	27.04	29.04	32.56	30.91	36.16	42.2
25	24.68	31.86	37.45	35.47	28.76	41.7	36.14	33.9
26	38.23	35.51	28.66	33.15	37.74	28.53	43.83	39.99
27	32.32	39.75	37.58	43.77	33.48	41.62	31.95	37.91
28	33.76	37.31	35.85	35.99	26.26	30.96	37.78	38.84
29	29.43	37.69	35.24	31.16	41.46	39.58	39.4	31.76
