	_1-1	_1-2	_1-3	_1-4	_1-5	_1-6	_1-7	_1-8
0	23.48	20.22	31.97	21.9	16.3	20.73	18.56	21.61
1	22.09	19.83	18.8	17.75	21.67	18.74	30.0	22.16
2	26.43	26.39	20.99	26.27	16.77	18.57	24.26	35.39
3	16.46	28.42	15.43	21.65	17.94	17.8	17.99	15.18
4	27.42	30.4	36.83	25.99	15.97	1038.54	62.34	15.14
5	15.79	29.0	21.94	20.52	24.58	29.01	18.18	18.35
6	22.13	35.05	18.38	19.49	64.58	22.81	39.84	20.44
7	21.73	25.75	16.3	20.31	21.04	23.89	18.3	19.22
8	25.03	17.29	27.47	20.02	26.24	17.63	34.59	30.86
9	42.14	16.72	16.03	17.13	16.58	15.39	18.6	104.85
10	18.48	22.28	24.74	19.62	20.78	17.52	16.7	23.64
11	29.33	17.5	17.45	20.18	26.5	23.71	22.06	19.27
12	37.35	21.16	26.66	15.98	16.99	40.36	31.19	92.34
13	19.16	22.17	19.42	18.33	18.45	18.43	33.84	18.74
14	24.07	18.11	23.66	35.92	32.66	19.86	19.48	21.53
15	15.79	18.07	22.2	27.6	21.32	15.18	19.45	20.34
16	27.92	20.09	18.78	16.65	17.53	22.72	15.56	19.18
17	18.47	22.92	18.54	18.08	20.8	23.19	18.01	17.52
18	16.77	16.27	17.8	13.86	18.18	20.5	84.66	16.02
19	18.83	20.09	15.39	16.59	14.34	23.17	18.65	14.58
20	17.69	33.52	24.72	21.46	17.22	15.45	109.23	28.27
21	70.07	24.53	18.3	25.9	17.47	51.35	23.34	24.16
22	43.11	19.83	18.19	21.45	17.89	22.45	20.49	18.97
23	19.2	17.06	26.22	19.61	33.69	890.65	20.85	18.75
24	33.61	19.83	17.8	17.4	30.5	18.02	28.92	21.14
25	17.76	14.84	38.5	19.05	49.53	21.56	15.24	58.37
26	23.34	24.04	27.55	49.65	22.75	84.73	53.55	22.44
27	15.96	19.59	17.48	28.54	19.61	24.46	17.58	26.56
28	25.0	32.61	16.59	25.75	25.0	94.44	25.28	16.88
29	15.45	17.81	19.27	21.38	16.13	24.78	23.63	51.38
