	_1-1	_1-2	_1-3	_1-4	_1-5	_1-6	_1-7	_1-8
0	67.0	54.88	70.03	55.48	48.42	60.87	50.36	53.69
1	52.35	50.61	50.93	47.74	54.19	57.96	66.4	68.67
2	63.19	60.27	57.55	58.29	57.66	61.67	60.58	72.88
3	43.52	62.01	50.47	63.59	46.24	47.96	75.48	54.98
4	56.68	63.23	75.98	67.83	49.27	1071.93	100.58	49.37
5	43.26	67.76	54.69	55.87	52.65	64.89	53.81	60.95
6	54.63	67.55	51.33	51.48	101.47	60.48	74.05	68.04
7	55.16	54.49	44.61	54.13	54.62	53.74	66.04	59.54
8	68.87	45.46	63.73	58.79	66.66	47.42	74.23	75.37
9	91.65	46.28	46.81	51.45	55.53	51.56	58.62	154.51
10	53.91	50.73	54.51	57.59	54.14	55.06	50.56	56.63
11	70.51	51.26	44.3	57.19	61.74	53.95	60.42	58.15
12	78.46	51.4	69.73	44.47	52.6	85.62	67.53	130.58
13	54.48	54.52	57.41	51.41	57.03	49.75	66.75	48.98
14	58.89	52.48	57.76	64.94	68.7	55.58	58.55	62.63
15	44.55	51.79	67.8	57.59	60.75	47.12	52.04	54.57
16	57.38	54.75	50.18	69.63	47.8	57.84	49.52	58.09
17	49.79	52.18	48.52	48.67	70.58	56.88	48.85	54.43
18	47.83	48.01	53.08	44.67	60.04	52.98	121.26	48.82
19	58.73	47.72	56.78	50.06	52.12	53.43	48.18	51.05
20	47.41	73.28	56.57	60.6	49.42	43.51	148.49	69.63
21	99.69	53.56	47.04	58.1	56.14	93.36	63.78	62.54
22	73.72	52.43	49.83	52.22	52.7	56.94	59.4	66.73
23	60.96	53.64	70.24	61.37	72.56	926.32	56.85	56.65
24	64.41	47.91	46.25	47.69	63.55	50.14	66.33	64.96
25	43.24	48.06	78.0	55.83	80.37	65.13	52.92	94.0
26	64.13	60.3	58.78	84.2	62.26	115.58	99.74	63.82
27	49.62	60.34	56.39	74.22	54.28	64.49	49.28	65.35
28	57.17	71.97	53.72	63.65	52.28	126.39	64.68	54.98
29	44.45	56.86	54.91	53.35	58.76	66.03	63.4	85.61
