	_1-1	_1-2	_1-3	_1-4	_1-5	_1-6	_1-7	_1-8
0	32.53	32.32	35.21	32.93	28.53	38.44	42.8	27.59
1	36.87	37.69	29.44	26.3	31.0	26.01	34.85	31.11
2	27.57	40.34	28.15	26.06	28.55	47.48	29.56	28.51
3	36.92	26.58	36.25	32.78	24.67	25.89	32.12	34.58
4	26.25	27.91	38.79	31.31	34.7	31.06	28.23	35.42
5	34.77	32.27	25.58	33.04	27.02	38.08	37.78	32.96
6	25.13	27.16	31.8	29.83	37.23	28.91	30.82	40.09
7	26.56	30.66	29.49	30.8	25.34	34.01	28.3	28.62
8	32.53	32.38	37.96	47.38	28.19	29.79	35.39	31.43
9	35.56	30.52	33.31	34.34	28.23	42.17	32.07	32.16
10	28.94	25.87	28.9	29.85	31.49	28.21	31.74	35.47
11	25.37	54.11	30.63	38.75	26.21	30.42	39.9	33.32
12	33.89	33.54	41.25	26.51	34.75	26.71	33.13	34.74
13	27.32	35.45	38.72	30.64	29.74	25.35	32.21	35.11
14	32.89	35.43	30.69	36.58	26.1	38.44	29.17	45.12
15	26.46	28.8	29.54	25.12	27.27	29.35	32.45	35.22
16	26.67	28.49	35.43	33.37	28.62	28.32	34.97	26.61
17	40.88	31.0	28.66	30.59	44.56	34.14	39.61	34.3
18	24.84	33.94	30.54	29.71	36.56	30.81	30.68	28.6
19	27.66	28.52	26.82	30.77	30.33	31.89	29.28	26.87
20	28.09	31.69	35.89	31.85	31.49	25.19	37.6	31.97
21	29.9	26.93	28.53	33.41	31.36	38.22	28.99	36.5
22	30.81	29.79	27.53	37.56	34.51	36.46	31.87	32.11
23	35.32	26.92	31.93	31.82	32.59	29.45	34.27	28.03
24	26.6	31.82	28.17	29.76	39.73	27.7	36.75	27.97
25	28.06	28.15	28.66	25.92	32.59	30.47	31.27	35.14
26	30.08	30.39	37.98	36.67	25.56	27.85	35.25	29.16
27	38.95	42.51	42.65	36.09	32.51	25.64	34.35	27.4
28	27.49	28.04	29.52	27.34	35.49	29.36	36.16	27.21
29	27.45	29.3	29.59	29.09	25.5	34.72	27.19	35.86
