	_1-1	_1-2	_1-3	_1-4	_1-5	_1-6	_1-7	_1-8
0	19.7	20.13	41.96	16.45	23.39	15.74	21.61	32.18
1	24.9	20.46	27.7	21.9	14.09	36.36	37.05	23.38
2	16.21	21.66	20.67	35.39	17.24	19.48	18.48	17.46
3	19.07	32.89	18.29	25.08	15.3	17.45	18.74	17.94
4	18.23	14.67	20.72	19.05	18.11	25.6	25.58	19.98
5	15.8	15.76	18.32	17.03	17.04	20.55	19.99	17.19
6	19.49	21.2	22.1	22.55	19.12	18.5	17.19	14.47
7	14.7	85.26	58.34	20.44	21.48	16.79	18.53	17.62
8	20.5	14.74	18.86	17.53	21.24	18.22	16.19	29.18
9	25.46	15.22	16.11	29.39	38.43	17.16	20.11	20.08
10	17.12	16.97	19.5	44.11	92.56	23.4	18.31	17.59
11	19.39	20.02	15.39	18.67	16.23	19.73	14.89	14.69
12	23.03	21.02	24.32	18.25	22.29	16.23	16.46	47.59
13	19.38	16.33	24.04	21.11	34.72	23.6	32.23	24.48
14	15.3	19.4	18.68	23.94	19.82	16.39	27.7	18.04
15	46.21	25.36	16.74	16.54	16.39	27.23	19.16	16.31
16	19.59	16.11	17.85	23.01	20.76	17.08	36.13	20.99
17	21.01	17.85	18.91	21.01	22.37	25.81	19.93	17.12
18	15.19	24.33	20.7	14.81	21.04	21.96	22.42	21.81
19	70.01	17.09	16.6	16.48	17.94	19.04	90.01	25.27
20	62.39	20.27	29.81	15.85	20.43	15.75	20.0	15.03
21	20.46	21.82	17.65	21.18	59.1	19.45	25.24	21.4
22	15.25	21.51	14.73	19.59	28.73	22.48	19.09	17.81
23	18.98	18.91	16.0	16.69	18.39	24.29	19.34	15.19
24	15.69	22.85	36.62	22.58	16.57	17.43	20.93	23.2
25	21.73	17.94	16.7	15.27	22.0	27.75	31.89	23.08
26	16.65	17.29	30.48	20.2	20.27	14.37	16.13	26.63
27	25.19	19.24	28.93	19.12	17.83	21.35	15.39	17.25
28	17.09	23.05	24.74	16.4	15.68	19.13	21.5	27.39
29	17.57	19.08	20.64	24.09	17.3	17.12	16.63	21.17
