	_1-1	_1-2	_1-3	_1-4	_1-5	_1-6	_1-7	_1-8
0	53.39	53.25	78.61	50.55	52.36	54.98	65.09	61.69
1	62.69	59.24	58.68	49.47	45.05	64.29	74.18	53.53
2	44.74	63.7	49.66	63.26	46.5	68.46	48.09	47.15
3	57.31	61.05	55.99	60.42	41.57	44.88	51.92	54.14
4	45.13	45.12	61.4	54.17	54.19	58.22	55.02	56.04
5	50.27	49.04	44.84	51.04	45.47	59.52	58.7	51.92
6	45.79	49.5	56.45	53.28	57.29	48.69	48.87	58.25
7	43.61	118.41	89.82	52.03	48.12	51.24	47.6	47.05
8	54.12	47.56	57.39	66.78	50.71	52.32	52.21	61.4
9	59.17	46.91	51.85	64.66	68.2	61.03	52.16	52.96
10	47.7	43.48	49.88	76.78	126.66	52.56	52.66	55.51
11	45.46	75.31	46.88	58.31	43.13	51.18	55.64	49.16
12	58.04	55.17	66.44	45.56	59.56	43.72	50.92	83.69
13	47.41	53.26	64.0	52.76	65.19	49.64	65.38	61.05
14	49.68	55.61	50.15	59.33	46.54	56.69	56.8	65.04
15	74.08	55.0	47.49	42.66	44.7	58.02	52.48	53.94
16	47.79	46.54	55.35	56.43	51.0	46.25	72.02	48.91
17	62.91	47.99	49.96	52.73	69.09	60.5	59.88	51.14
18	41.58	58.37	51.05	45.78	58.74	53.59	56.08	51.22
19	100.1	45.86	45.48	48.96	45.91	52.33	119.46	52.92
20	91.87	53.46	67.37	47.31	52.75	42.05	58.96	47.86
21	50.88	49.0	46.8	55.49	92.23	58.92	54.62	59.86
22	48.09	53.08	43.37	58.99	64.32	62.55	52.31	50.5
23	54.81	47.16	49.41	49.35	52.25	54.57	55.58	45.01
24	43.49	56.01	65.32	53.39	57.05	46.67	58.88	51.66
25	50.52	47.21	47.51	42.97	55.73	59.63	63.48	60.41
26	47.47	48.97	68.98	58.16	46.87	43.78	52.01	56.21
27	65.25	62.96	71.99	56.0	50.76	48.06	50.5	45.33
28	46.01	52.6	51.99	44.99	52.28	50.13	57.99	56.19
29	47.4	50.12	50.59	53.11	44.01	52.97	44.58	58.66
