	_1-1	_1-2	_1-3	_1-4	_1-5	_1-6	_1-7	_1-8
0	24.96	20.07	93.44	18.19	16.04	18.61	14.41	23.59
1	23.17	17.98	55.44	90.77	18.65	34.78	21.71	1024.08
2	23.38	44.66	36.71	212.78	17.34	25.8	15.46	16.2
3	61.72	15.24	26.37	35.8	16.7	36.22	20.8	17.11
4	34.8	17.33	21.86	15.72	28.52	21.95	39.89	20.29
5	19.7	23.64	17.84	15.44	22.38	15.42	17.33	19.73
6	15.39	26.13	126.0	18.08	22.82	25.93	21.01	20.66
7	19.91	19.87	24.11	18.67	29.61	30.31	38.84	17.59
8	19.82	15.92	18.66	70.69	34.53	15.31	17.24	38.06
9	27.73	20.49	33.97	18.7	26.65	19.06	45.74	17.24
10	47.96	19.42	35.59	36.2	38.43	16.46	19.78	20.23
11	17.46	18.68	25.69	31.66	17.45	24.7	16.2	17.95
12	19.16	18.46	16.01	24.5	15.16	16.96	18.13	15.37
13	19.38	21.48	14.98	24.52	18.26	18.55	29.19	26.03
14	23.88	18.47	37.91	23.05	20.21	26.15	38.87	32.63
15	17.42	17.96	21.22	20.33	24.83	17.39	201.41	22.08
16	18.06	18.49	15.69	22.71	19.46	21.19	14.62	24.19
17	15.62	26.3	80.75	16.82	18.19	25.16	17.07	146.15
18	29.2	15.78	16.79	15.23	61.88	16.93	33.24	29.57
19	19.84	46.27	17.46	19.69	38.1	50.65	21.49	22.37
20	19.02	18.53	34.33	49.52	19.49	36.02	18.32	30.89
21	16.92	19.09	26.19	16.42	23.06	24.74	19.16	17.32
22	14.15	39.42	19.19	19.88	35.31	18.38	27.09	16.25
23	19.94	15.54	20.17	19.65	21.72	20.2	48.45	18.67
24	20.87	16.67	19.75	25.2	26.48	22.89	18.09	17.26
25	15.52	22.53	32.08	22.16	20.91	39.88	21.09	26.54
26	15.49	18.36	16.21	18.28	19.2	19.92	21.37	45.51
27	37.85	42.95	16.87	18.68	18.85	18.8	43.73	16.51
28	78.46	17.89	20.08	33.82	17.88	32.47	25.13	18.61
29	15.09	17.36	97.0	22.71	20.8	29.18	36.41	22.13
30	30.14	35.03	29.09	52.49	16.84	28.45	16.34	18.63
31	43.7	15.37	47.37	16.59	19.24	15.1	17.78	19.61
32	16.38	25.97	28.3	26.06	39.35	17.05	19.62	19.23
33	15.16	31.21	15.79	55.37	1011.95	40.79	18.3	21.86
34	17.99	15.12	23.16	26.85	19.28	31.52	19.88	82.74
35	15.73	23.06	26.04	20.85	15.26	33.49	35.25	27.65
36	19.2	17.5	24.03	38.67	16.32	25.3	18.96	22.33
37	77.33	15.24	47.75	35.44	17.25	16.33	20.51	30.55
38	20.49	110.73	16.78	16.88	24.44	29.94	24.41	27.7
39	20.97	76.02	16.57	30.32	24.82	18.64	21.79	20.59
40	41.53	20.49	92.04	36.92	15.0	24.38	27.71	17.62
41	28.44	16.66	36.99	19.95	18.26	25.63	35.67	27.05
42	293.82	38.31	17.5	20.62	17.28	23.07	19.43	23.25
43	17.93	25.34	39.85	21.33	27.34	17.93	21.02	18.01
44	15.68	21.55	57.22	22.06	22.01	19.16	27.99	21.02
45	22.72	24.1	67.59	17.8	19.7	27.71	43.78	27.2
46	15.72	26.37	23.11	24.8	24.32	15.31	20.14	20.13
47	20.95	27.88	44.41	20.06	20.67	14.59	22.31	32.35
48	17.12	30.77	40.1	20.15	22.23	18.55	26.81	18.92
49	14.06	70.49	17.43	18.62	31.49	19.8	14.33	19.6
