	_1-1	_1-2	_1-3	_1-4	_1-5	_1-6	_1-7	_1-8
0	32.28	26.78	38.46	39.71	27.68	29.13	35.38	133.42
1	26.57	42.83	37.57	50.38	43.01	57.78	28.91	128.0
2	28.14	29.07	32.52	42.64	33.19	62.47	84.73	117.39
3	37.31	33.4	38.28	25.22	46.0	29.42	34.15	131.36
4	33.35	39.0	42.93	38.19	47.77	58.57	87.59	127.33
5	26.03	39.39	44.68	39.8	53.75	36.98	80.28	35.54
6	33.1	32.84	32.7	37.08	32.31	68.9	86.38	126.07
7	29.96	37.07	38.95	37.42	54.71	34.75	101.08	34.76
8	27.6	34.34	31.66	37.25	44.05	29.41	86.6	126.65
9	25.4	28.68	29.79	32.65	51.28	70.59	43.67	125.69
10	30.51	32.55	31.83	24.67	29.28	60.16	87.3	121.89
11	33.48	37.06	31.61	56.26	40.43	58.75	86.69	48.93
12	36.23	31.92	30.74	41.51	49.76	84.69	28.33	38.8
13	25.07	30.04	54.39	40.96	41.16	58.84	92.74	143.04
14	29.02	41.69	27.92	27.94	36.78	39.96	86.99	132.94
15	42.94	30.96	33.18	34.45	48.98	57.52	90.46	34.24
16	36.33	28.87	36.59	47.18	29.95	65.62	32.3	129.78
17	29.39	31.11	34.39	45.11	45.3	62.02	91.8	116.35
18	34.61	35.87	31.66	33.5	34.6	34.64	30.86	33.27
19	28.3	26.97	31.13	42.4	44.1	78.15	31.69	137.62
20	35.25	27.76	40.29	37.98	49.38	31.77	99.95	125.48
21	37.54	33.92	34.35	42.95	38.34	35.75	91.31	124.11
22	31.22	30.76	34.33	37.02	39.41	59.69	76.86	118.29
23	39.39	40.93	34.97	38.97	34.87	66.57	82.85	34.43
24	31.89	28.65	39.42	32.19	48.02	68.06	80.3	133.29
25	24.66	35.83	36.52	35.82	39.42	30.8	38.0	37.46
26	28.3	29.73	31.28	34.46	33.74	64.4	38.34	127.04
27	26.39	27.41	32.4	31.51	33.75	27.19	102.4	128.21
28	30.31	36.97	34.62	42.85	45.25	29.23	81.1	39.57
29	27.1	35.11	33.67	46.39	41.63	29.16	95.18	39.89
30	26.67	28.19	33.53	35.0	33.55	67.22	28.94	126.43
31	35.39	30.09	32.0	36.87	43.67	33.48	35.93	129.93
32	34.05	26.15	31.09	30.26	30.9	28.54	28.7	120.9
33	24.32	33.67	30.67	47.67	38.74	65.87	28.96	114.74
34	28.64	34.08	37.13	46.89	39.74	67.77	42.56	33.9
35	36.69	29.8	33.12	33.97	51.81	70.2	89.66	35.05
36	30.36	27.19	32.19	30.43	32.03	37.47	87.19	35.82
37	28.26	28.83	34.11	41.23	54.25	34.0	83.82	136.52
38	32.84	38.39	30.05	34.32	36.65	36.76	88.61	149.35
39	34.43	30.54	27.67	28.8	34.43	60.69	88.83	40.41
40	26.33	32.32	29.26	33.26	45.55	36.57	33.79	47.17
41	24.03	29.53	30.72	42.39	49.03	74.15	109.99	38.49
42	31.9	30.82	34.92	43.74	39.0	59.4	39.91	41.62
43	29.32	29.56	36.28	41.72	32.98	63.51	78.33	127.78
44	26.93	34.85	37.56	34.23	41.3	62.03	74.38	39.23
45	30.66	44.48	35.28	36.08	52.49	65.46	77.83	129.53
46	26.31	29.59	33.04	41.76	29.7	72.53	30.45	31.82
47	27.26	37.46	33.7	25.24	39.94	67.57	35.44	33.95
48	34.18	37.34	36.99	31.59	40.99	61.76	102.81	127.27
49	25.0	29.07	33.42	29.62	33.69	33.45	36.55	120.68
