	_1-1	_1-2	_1-3	_1-4	_1-5	_1-6	_1-7	_1-8
0	24.09	20.44	93.44	18.19	16.04	18.61	14.41	42.04
1	23.17	17.98	30.23	20.43	18.46	19.6	21.71	56.13
2	17.5	44.66	17.39	16.73	17.34	18.88	16.99	38.54
3	22.02	20.32	24.77	35.8	14.29	36.22	20.8	15.01
4	18.73	23.85	18.41	28.05	16.95	15.39	15.31	22.73
5	19.7	23.64	17.84	15.44	16.71	15.42	25.19	19.73
6	16.83	26.13	126.0	18.08	22.82	18.59	15.24	20.36
7	15.56	22.83	19.95	27.99	18.85	30.31	30.59	17.59
8	16.86	26.47	19.32	70.69	30.44	15.31	25.41	19.52
9	25.22	34.02	33.97	18.06	20.44	19.88	45.74	21.09
10	47.96	19.42	35.59	36.2	38.43	18.71	17.19	17.02
11	17.33	18.68	25.11	21.65	14.67	14.15	21.86	17.95
12	27.77	31.79	18.92	22.74	18.22	20.43	18.13	15.37
13	17.45	21.92	22.11	18.72	37.93	24.93	21.24	20.79
14	25.93	18.47	37.91	23.05	20.21	26.15	16.57	24.59
15	17.42	17.96	15.68	20.33	16.39	15.98	18.65	22.08
16	18.06	19.55	16.07	33.79	19.46	16.43	14.62	21.2
17	15.75	21.26	80.75	14.7	15.85	15.44	18.72	23.57
18	23.64	20.83	16.79	21.09	61.88	16.93	33.24	29.57
19	19.84	46.27	17.46	22.14	22.27	16.69	21.49	17.05
20	21.52	18.53	34.33	19.85	34.93	36.02	20.43	21.63
21	20.34	19.09	60.78	16.69	23.06	24.74	19.24	16.73
22	14.15	28.19	18.29	18.31	15.69	18.02	20.58	23.89
23	27.82	18.55	20.17	20.31	21.72	18.33	37.4	18.67
24	14.43	16.67	23.42	25.2	22.77	19.58	19.72	17.01
25	17.09	22.53	15.89	62.01	20.91	39.88	21.09	26.54
26	15.49	16.14	13.89	23.35	19.2	18.66	21.37	18.95
27	37.85	42.95	16.87	18.68	18.85	18.8	18.95	15.45
28	19.25	17.84	28.79	33.82	18.65	32.47	23.1	18.61
29	15.09	20.67	14.87	21.78	21.0	29.18	19.44	22.13
30	18.11	35.03	21.82	52.49	16.84	28.32	16.34	17.34
31	17.2	17.1	22.55	16.59	28.75	15.1	17.78	17.79
32	21.36	1010.0	28.3	26.06	39.35	17.05	19.62	32.31
33	17.16	31.21	15.79	15.12	18.65	22.1	18.3	36.83
34	17.99	15.12	23.16	24.57	18.08	46.19	19.88	82.74
35	22.76	23.19	17.29	13.43	39.98	15.66	19.6	27.65
36	17.01	19.09	22.63	38.67	16.32	25.3	17.28	22.33
37	77.33	20.15	20.66	18.22	23.78	16.33	18.5	35.22
38	17.54	22.92	27.82	15.9	24.44	29.94	17.1	17.37
39	20.97	76.02	16.57	30.32	24.82	17.87	17.99	20.59
40	17.63	33.81	18.58	36.92	16.61	24.38	27.71	17.62
41	28.44	21.22	16.17	21.7	21.14	23.37	16.7	27.05
42	293.82	15.15	17.5	18.52	46.96	26.66	19.43	23.25
43	17.93	18.61	17.83	17.61	27.34	22.87	28.92	19.54
44	16.71	18.8	31.34	25.79	16.74	22.52	19.81	21.02
45	17.95	15.91	67.59	20.15	15.1	18.44	21.99	17.19
46	15.72	16.67	14.87	19.49	24.32	17.91	20.14	20.13
47	20.95	27.88	16.16	20.06	17.04	21.46	22.31	32.35
48	17.12	19.01	40.1	20.15	42.97	17.49	16.21	23.91
49	14.06	70.49	17.43	18.62	31.49	19.8	14.33	29.02
