	_1-1	_1-2	_1-3	_1-4	_1-5	_1-6	_1-7	_1-8
0	57.59	49.63	134.21	61.03	44.44	47.86	47.63	174.5
1	49.39	64.36	69.08	71.11	62.7	79.41	51.23	186.28
2	47.33	75.45	51.24	60.08	51.3	82.06	102.63	157.17
3	59.1	56.43	64.07	61.67	61.1	65.96	55.32	145.94
4	53.39	63.49	62.22	67.22	63.05	75.1	104.28	149.37
5	46.38	64.7	63.47	56.35	70.2	51.84	119.33	54.52
6	51.31	59.94	160.69	56.53	55.01	88.72	102.44	145.38
7	46.22	60.19	60.24	66.25	75.05	65.59	135.02	50.89
8	45.39	61.93	52.1	106.34	75.65	45.36	114.81	149.06
9	52.6	64.74	64.31	51.56	69.65	93.21	88.09	148.04
10	79.37	51.06	74.18	62.09	67.48	79.86	105.41	139.59
11	53.12	56.94	57.78	90.79	57.59	73.9	109.58	66.98
12	65.62	64.71	50.33	65.03	68.84	106.14	47.03	53.12
13	44.14	50.52	77.05	61.48	81.62	85.94	116.53	164.81
14	57.62	62.3	67.28	52.2	57.91	67.57	104.78	161.55
15	62.38	50.16	50.05	55.94	65.79	74.91	110.41	55.11
16	55.98	49.58	53.68	83.31	49.62	83.42	46.83	152.78
17	45.76	53.22	113.41	60.39	61.25	76.95	111.79	142.43
18	58.79	55.22	49.96	55.44	95.51	52.56	64.45	61.91
19	49.46	74.23	50.23	65.61	67.43	95.88	52.57	155.11
20	58.31	47.22	75.31	58.62	84.65	67.9	124.49	149.14
21	59.33	53.79	99.02	61.86	61.95	61.27	112.03	150.24
22	47.56	59.58	54.55	56.65	57.16	79.27	98.57	143.94
23	68.37	59.83	57.83	59.62	56.97	86.07	122.64	52.14
24	47.71	45.96	64.17	58.13	72.2	88.79	101.17	150.97
25	43.04	59.76	55.2	100.32	60.49	71.81	61.02	62.88
26	45.33	46.5	48.89	59.22	54.31	84.6	58.87	144.46
27	65.5	72.31	50.02	51.57	53.18	46.95	123.53	143.05
28	50.51	54.8	65.06	81.37	65.55	62.27	105.73	57.75
29	43.33	57.02	49.26	69.26	63.48	57.6	115.71	60.86
30	45.55	63.99	55.13	88.87	50.89	96.72	44.97	144.08
31	54.91	48.24	55.75	54.34	73.66	49.8	56.05	148.34
32	56.04	1038.27	60.03	56.68	70.64	46.88	47.33	156.49
33	42.39	65.36	47.23	62.89	58.84	87.48	48.33	152.97
34	47.59	50.72	62.95	72.67	58.94	114.38	65.11	116.16
35	61.92	54.03	51.22	48.02	94.58	87.03	110.38	63.25
36	48.6	47.04	54.02	70.34	52.47	65.03	102.78	56.94
37	110.53	49.79	55.87	60.27	79.73	51.85	103.51	172.65
38	51.81	62.65	59.62	50.05	62.66	67.24	106.72	167.52
39	56.89	108.49	44.97	58.77	59.91	80.01	111.88	60.88
40	45.35	68.25	47.25	72.2	63.56	62.43	57.96	59.05
41	53.37	51.28	46.3	65.15	71.61	97.87	127.67	67.22
42	327.25	45.62	55.04	63.55	87.67	86.49	57.62	63.75
43	47.62	48.88	56.69	60.37	71.94	92.09	109.64	148.21
44	45.4	56.16	69.44	60.72	59.24	86.23	95.56	59.86
45	49.85	57.5	100.85	57.22	69.09	85.35	100.06	147.67
46	43.12	47.13	48.81	62.72	55.08	92.31	50.37	50.66
47	49.17	65.19	52.38	45.93	57.77	89.95	57.63	64.26
48	54.58	58.81	78.2	53.15	85.92	81.14	120.13	152.18
49	40.0	100.72	51.31	49.65	65.41	53.5	51.05	150.08
