	_1-1	_1-2	_1-3	_1-4	_1-5	_1-6	_1-7	_1-8
0	26.33	31.89	27.5	26.92	29.5	34.8	34.91	28.61
1	25.42	37.63	30.79	27.7	27.36	37.15	27.61	34.13
2	31.89	36.81	27.81	27.96	29.91	31.09	28.96	33.09
3	34.35	34.13	26.14	27.98	29.09	27.18	30.47	41.52
4	27.67	27.86	32.16	25.67	28.25	30.03	25.76	33.24
5	26.53	35.48	34.05	28.17	27.04	32.98	30.74	28.59
6	41.43	33.56	34.18	28.42	40.89	33.66	42.05	31.55
7	33.45	27.56	26.51	28.35	33.55	28.57	32.48	29.59
8	25.39	33.6	33.59	31.63	26.92	38.05	29.92	32.22
9	28.04	34.64	39.14	38.96	24.57	25.75	24.35	30.5
