	_1-1	_1-2	_1-3	_1-4	_1-5	_1-6	_1-7	_1-8
0	49.28	41.58	20.64	16.08	22.96	22.3	23.9	35.83
1	53.48	21.66	18.43	15.31	17.95	18.38	31.72	17.32
2	44.53	28.89	18.58	18.77	24.99	14.97	16.43	15.83
3	126.22	19.65	15.79	16.13	20.26	17.87	28.75	22.31
4	19.77	18.58	24.36	15.46	18.04	16.44	17.97	16.97
5	19.97	22.31	15.42	21.6	17.93	14.61	19.13	18.7
6	21.47	50.07	16.87	16.06	17.66	26.65	18.02	21.71
7	24.59	24.31	20.06	18.09	18.58	19.22	17.42	15.97
8	34.38	16.31	15.11	33.76	16.09	15.64	29.75	20.06
9	24.57	22.38	22.0	17.19	17.28	25.14	53.85	19.13
