	_1-1	_1-2	_1-3	_1-4	_1-5	_1-6	_1-7	_1-8
0	77.73	74.99	49.3	43.9	52.69	57.51	60.19	65.63
1	80.88	60.45	50.95	44.8	45.94	58.71	60.16	52.9
2	77.94	68.78	47.35	47.54	55.17	47.46	46.33	50.52
3	162.06	55.14	43.26	44.92	49.91	50.58	60.11	63.0
4	48.95	47.55	57.67	42.12	49.28	47.24	44.96	51.27
5	47.4	59.5	50.99	51.07	46.28	50.78	50.53	48.2
6	60.45	86.99	52.01	46.28	61.11	60.05	63.26	54.04
7	59.07	53.33	47.14	46.55	51.22	48.66	50.97	46.6
8	60.72	50.9	50.69	67.44	43.67	54.29	60.88	53.8
9	51.83	58.12	62.99	56.93	51.94	51.57	82.01	50.63
