	_1-1	_1-2	_1-3	_1-4	_1-5	_1-6	_1-7	_1-8
0	28.44	28.89	38.46	39.71	27.68	29.13	35.38	49.77
1	26.57	42.83	28.77	37.24	34.45	30.04	28.91	46.92
2	34.97	29.07	29.84	32.44	33.19	32.08	35.81	39.7
3	32.63	33.41	27.75	25.22	34.12	29.42	34.15	51.15
4	42.69	29.16	35.46	30.45	34.67	38.93	38.39	56.14
5	26.03	39.39	44.68	39.8	32.92	36.98	38.15	35.54
6	30.65	32.84	32.7	37.08	32.31	35.23	38.32	53.79
7	27.12	30.06	32.56	31.4	35.69	34.75	36.99	34.76
8	29.28	29.44	28.25	37.25	33.65	29.41	34.01	44.68
9	24.59	35.89	29.79	30.61	29.74	43.0	43.67	49.29
10	30.51	32.55	31.83	24.67	29.28	35.39	35.13	51.18
11	31.19	37.06	26.25	38.47	34.49	36.66	46.45	48.93
12	374.51	36.76	36.11	35.31	40.84	37.64	28.33	38.8
13	26.28	32.57	29.08	29.11	27.34	33.51	35.79	46.11
14	29.86	41.69	27.92	27.94	36.78	39.96	36.17	65.09
15	42.94	30.96	43.87	34.45	28.61	32.59	44.96	34.24
16	36.33	33.12	29.03	29.1	29.95	33.52	32.3	53.14
17	35.09	29.2	34.39	27.7	32.93	41.1	50.94	42.51
18	30.54	35.47	31.66	31.39	34.6	34.64	30.86	33.27
19	28.3	26.97	31.13	26.47	36.47	33.56	31.69	53.93
20	30.73	27.76	40.29	37.1	47.97	31.77	42.44	50.35
21	29.92	33.92	28.9	38.58	38.34	35.75	36.04	50.78
22	31.22	25.26	31.04	42.8	27.79	35.89	39.44	45.24
23	27.43	26.63	34.97	30.56	34.87	32.09	35.78	34.43
24	29.01	28.65	29.22	32.19	38.04	35.92	37.94	47.07
25	33.73	35.83	35.61	32.25	39.42	30.8	38.0	37.46
26	28.3	36.0	30.59	28.91	33.74	34.13	38.34	51.47
27	26.39	27.41	32.4	31.51	33.75	27.19	39.39	47.85
28	25.97	27.73	29.9	42.85	32.54	29.23	37.21	39.57
29	27.1	28.12	34.66	26.44	28.74	29.16	45.72	39.89
30	26.78	28.19	32.81	35.0	33.55	32.19	28.94	46.4
31	28.62	31.7	36.27	36.87	34.75	33.48	35.93	54.0
32	36.68	27.05	31.09	30.26	30.9	28.54	28.7	52.69
33	30.32	33.67	30.67	37.0	30.35	34.54	28.96	42.29
34	28.64	34.08	37.13	33.72	35.87	37.02	42.56	33.9
35	39.15	35.27	34.12	26.46	32.06	40.18	40.2	35.05
36	32.04	39.81	41.91	30.43	32.03	37.47	38.51	35.82
37	28.26	26.03	35.58	35.3	29.81	34.0	43.49	52.55
38	30.39	27.1	37.04	28.86	36.65	36.76	45.37	45.93
39	34.43	30.54	27.67	28.8	34.43	33.11	46.71	40.41
40	31.29	33.64	28.26	33.26	36.32	36.57	33.79	47.17
41	24.03	35.01	25.63	26.85	44.24	44.3	38.84	38.49
42	31.9	26.55	34.92	31.05	45.12	31.27	39.91	41.62
43	29.32	26.03	31.15	47.58	32.98	36.79	40.01	52.92
44	32.64	26.75	39.31	37.31	36.19	37.85	37.27	39.23
45	32.94	26.6	35.28	28.75	30.42	34.78	43.2	48.01
46	26.31	31.8	29.37	31.5	29.7	42.47	30.45	31.82
47	27.26	37.46	34.08	25.24	33.94	33.82	35.44	33.95
48	34.18	29.96	36.99	31.59	27.88	29.14	37.89	54.98
49	25.0	29.07	33.42	29.62	33.69	33.45	36.55	45.8
