	_1-1	_1-2	_1-3	_1-4	_1-5	_1-6	_1-7	_1-8
0	59.78	45.03	134.21	61.03	44.44	47.86	47.63	56.03
1	49.39	64.36	40.48	134.44	51.74	53.15	51.23	49.0
2	47.22	75.45	56.19	51.56	51.3	50.88	47.13	52.59
3	45.62	48.33	45.83	61.67	47.94	65.96	55.32	49.52
4	56.24	46.66	52.99	65.52	47.49	46.0	46.58	62.17
5	46.38	64.7	63.47	56.35	60.26	51.84	53.77	54.52
6	53.1	59.94	160.69	56.53	55.01	45.47	48.55	55.49
7	55.13	48.41	48.38	47.04	47.72	65.59	46.82	50.89
8	45.9	50.44	54.2	106.34	58.83	45.36	47.21	47.91
9	41.06	55.14	64.31	47.57	90.53	48.84	88.09	50.94
10	79.37	51.06	74.18	62.09	67.48	55.67	48.05	47.83
11	53.37	56.94	44.66	51.76	47.95	55.13	52.74	66.98
12	57.75	49.29	67.27	49.04	187.1	48.31	47.03	53.12
13	44.44	48.05	59.47	58.77	44.95	55.91	54.53	50.11
14	43.98	62.3	67.28	52.2	57.91	67.57	46.88	45.74
15	62.38	50.16	50.43	55.94	59.09	44.1	51.31	55.11
16	55.98	61.81	56.26	45.78	49.62	45.28	46.83	44.07
17	61.58	50.83	113.41	48.99	49.66	56.4	58.89	52.18
18	47.88	42.7	49.96	52.7	95.51	52.56	64.45	61.91
19	49.46	74.23	50.23	54.27	1046.32	44.1	52.57	51.95
20	44.87	47.22	75.31	51.05	61.52	67.9	46.3	43.62
21	57.63	53.79	52.35	55.57	61.95	61.27	58.22	45.38
22	47.56	52.23	65.28	43.84	46.17	75.44	51.46	70.75
23	54.76	47.94	57.83	62.8	56.97	45.93	45.09	52.14
24	61.21	45.96	50.45	58.13	57.96	48.42	43.86	57.95
25	62.7	59.76	47.48	52.05	60.49	71.81	61.02	62.88
26	45.33	55.36	47.19	50.77	54.31	47.7	58.87	46.95
27	65.5	72.31	50.02	51.57	53.18	46.95	55.0	23.84
28	44.48	45.9	51.83	81.37	82.59	62.27	53.15	57.75
29	43.33	59.9	47.21	48.3	45.12	57.6	80.53	60.86
30	46.57	63.99	51.0	88.87	50.89	49.26	44.97	43.16
31	54.12	53.38	50.3	54.34	57.88	49.8	56.05	43.54
32	64.38	52.3	60.03	56.68	70.64	46.88	47.33	54.33
33	54.82	65.36	47.23	49.62	48.97	45.42	48.33	44.7
34	47.59	50.72	62.95	44.8	46.86	48.29	65.11	116.16
35	62.43	44.11	46.13	51.08	54.11	79.91	47.45	63.25
36	57.16	62.98	53.53	70.34	52.47	65.03	52.13	56.94
37	110.53	45.82	52.87	46.61	45.94	51.85	63.32	46.9
38	52.74	56.76	46.85	48.44	62.66	67.24	59.21	55.57
39	56.89	108.49	44.97	58.77	59.91	62.17	50.29	60.88
40	49.16	54.0	72.07	72.2	59.6	62.43	57.96	59.05
41	53.37	54.7	48.25	57.2	59.89	57.74	56.06	67.22
42	327.25	46.42	55.04	56.83	113.83	51.78	57.62	63.75
43	47.62	61.03	48.84	49.42	71.94	45.5	52.3	87.72
44	67.76	65.53	47.17	41.44	51.06	55.07	45.33	59.86
45	49.21	44.6	100.85	48.69	48.12	42.74	41.16	46.63
46	43.12	2046.32	78.92	46.09	55.08	59.62	50.37	50.66
47	49.17	65.19	47.22	45.93	49.34	45.53	57.63	64.26
48	54.58	49.99	78.2	53.15	53.97	51.46	45.74	63.73
49	40.0	100.72	51.31	49.65	65.41	53.5	51.05	48.46
