	_1-1	_1-2	_1-3	_1-4	_1-5	_1-6	_1-7	_1-8
0	34.51	35.51	35.25	41.85	30.64	29.7	27.7	35.39
1	37.48	42.82	30.61	28.72	31.57	29.34	38.1	30.97
2	46.16	38.2	31.0	29.26	31.21	28.73	37.47	32.49
3	33.0	35.85	33.37	32.8	26.84	29.29	28.12	26.0
4	43.93	33.2	51.69	27.52	36.97	32.02	30.08	30.44
5	38.7	38.69	35.25	29.84	27.25	26.39	27.93	27.86
6	50.99	35.7	37.74	29.98	38.9	27.88	29.19	26.92
7	35.29	30.2	32.81	30.98	31.69	28.01	30.38	27.69
8	35.78	29.97	31.43	33.42	26.66	30.9	26.67	29.25
9	44.35	29.76	28.11	33.15	30.3	26.51	30.24	34.28
10	43.07	29.12	30.34	29.43	32.26	34.21	28.83	29.1
11	37.16	43.51	28.45	36.44	36.76	40.88	32.3	31.21
12	32.69	36.63	34.28	31.13	35.14	33.76	29.27	35.01
13	38.0	34.54	34.04	32.99	27.34	28.71	30.5	33.48
14	31.98	30.22	35.72	30.7	28.15	27.84	26.43	33.2
15	31.73	46.65	31.04	29.91	29.92	30.55	35.59	32.96
16	39.92	30.78	31.15	33.48	31.99	28.89	37.05	37.58
17	40.29	39.02	29.06	39.96	37.15	27.1	25.98	41.16
18	36.71	34.48	31.73	26.53	36.23	34.16	26.93	34.37
19	38.3	30.37	34.6	27.32	26.93	30.89	37.41	26.2
20	43.68	31.04	32.21	42.28	36.23	36.93	26.58	30.43
21	36.91	37.3	27.96	50.19	33.81	28.81	32.18	39.38
22	35.69	35.92	45.95	36.36	36.17	30.31	31.83	35.39
23	48.33	32.35	30.74	27.59	29.21	27.25	31.38	28.24
24	36.77	31.29	34.33	25.95	34.88	26.31	26.03	32.46
25	36.52	41.36	32.51	29.76	31.46	28.68	26.83	25.97
26	36.39	32.23	29.57	45.78	26.4	26.3	29.73	26.31
27	34.64	34.96	32.81	29.78	30.32	37.46	26.33	26.96
28	39.46	46.89	30.67	28.23	28.62	35.84	36.11	32.47
29	34.35	30.21	38.7	29.55	33.48	27.61	31.01	26.25
